province,latitude,longitude,rainfall,soil_ph,crop,yield,year
Riau,-0.3472,102.2539,2738,4.94,Palm Oil,3.43,2021
Bali,-8.4143,115.3102,1746,6.5,Fruit,3.38,2015
North Kalimantan,3.1711,116.3899,3034,5.31,Palm Oil,3.15,2023
West Sulawesi,-1.9943,119.4947,2029,5.37,Rice,4.18,2022
South Kalimantan,-2.9144,114.9489,2791,6.11,Rice,5.02,2016
East Kalimantan,-1.7727,115.9651,2852,5.01,Rubber,0.87,2015
Jakarta Special Capital Region,-6.2337,106.79,1695,6.54,Urban Vegetables,5.16,2021
South Kalimantan,-1.4346,115.5198,3210,6.07,Rice,4.39,2022
South Sumatra,-2.9555,102.4124,2351,5.07,Rubber,0.96,2017
Aceh,3.3187,97.4657,1831,5.49,Rice,4.4,2022
Southeast Sulawesi,-3.4689,122.1567,2059,5.59,Cashew,0.91,2024
North Kalimantan,2.5158,117.5802,2710,5.25,Rice,4.58,2020
West Sulawesi,-2.3356,119.2967,2311,6.44,Coconut,3.75,2020
Southeast Sulawesi,-3.9512,121.9737,2236,5.53,Cocoa,1.69,2020
Jambi,-1.0397,102.767,2480,5.18,Rice,5.07,2024
South Sulawesi,-4.7109,119.6251,2185,6.03,Cashew,1.07,2015
East Nusa Tenggara,-8.5226,121.0602,1371,5.65,Cassava,9.66,2018
North Maluku,0.317,127.7979,2928,6.37,Nutmeg,0.98,2020
Papua,-6.5754,139.977,4041,5.77,Rice,4.28,2015
Jambi,-1.8208,101.5333,1680,6.07,Coffee,1.18,2016
Central Java,-7.5273,110.5193,2691,6.23,Sugarcane,6.41,2018
Special Region of Yogyakarta,-7.9408,110.2385,2617,6.06,Corn,4.61,2021
South Kalimantan,-3.196,115.0747,3007,4.62,Rubber,0.97,2023
North Kalimantan,3.2058,116.1694,2469,5.19,Rubber,0.91,2023
West Sumatra,-1.2243,100.9141,2804,5.59,Rice,4.95,2022
East Nusa Tenggara,-9.5284,124.9541,1192,5.76,Corn,4.03,2019
Central Java,-6.7478,111.3949,2698,6.55,Sugarcane,7.15,2017
East Nusa Tenggara,-8.2442,123.8219,1647,4.74,Cassava,8.83,2018
North Kalimantan,4.2806,115.9132,2650,5.23,Rice,4.86,2021
Jakarta Special Capital Region,-6.2738,106.8706,1469,6.29,Fruit,3.49,2015
Central Sulawesi,-1.3862,123.3136,2508,5.73,Rice,4.59,2018
South Sulawesi,-3.4425,119.6535,2384,5.41,Rice,4.81,2019
West Sulawesi,-2.4212,119.2684,2113,7.11,Coconut,3.37,2016
Papua,-2.7787,140.0484,3550,5.87,Rice,4.86,2020
South Sumatra,-3.7868,102.8596,2141,5.0,Rice,4.74,2023
West Sumatra,0.1946,100.4925,2251,5.13,Rice,4.0,2024
Maluku,-3.1604,128.587,3211,5.74,Cloves,0.94,2015
Lampung,-5.1796,104.1772,2182,5.3,Coffee,1.42,2018
South Sulawesi,-2.9041,119.7253,2483,5.5,Cashew,0.91,2022
Central Sulawesi,-1.695,119.8231,2422,5.4,Rice,5.21,2022
West Nusa Tenggara,-8.3099,117.8151,1765,6.0,Rice,4.52,2018
Gorontalo,0.3504,123.2317,2158,5.5,Cashew,0.93,2019
Central Kalimantan,-1.7226,114.0263,3003,5.03,Palm Oil,3.77,2020
East Java,-6.9815,112.3821,3169,5.88,Rice,3.75,2022
Central Kalimantan,-0.6546,114.5802,2908,4.79,Palm Oil,3.87,2022
Bali,-8.3398,115.1707,1720,5.38,Rice,4.31,2021
Lampung,-5.6317,104.8594,1962,5.78,Rice,5.17,2023
Banten,-6.3436,106.3394,2224,5.77,Rice,4.62,2016
Maluku,-3.2256,126.7481,2935,6.48,Coconut,3.66,2017
East Nusa Tenggara,-9.8108,120.548,1246,5.92,Cocoa,1.56,2017
East Java,-7.7101,113.9605,2459,5.66,Rice,5.0,2021
Gorontalo,0.4919,122.2064,1856,5.69,Rice,3.74,2015
Gorontalo,0.8026,122.1828,2467,5.38,Rice,4.57,2016
Bengkulu,-3.5621,102.7055,2149,5.84,Coffee,1.49,2018
Southeast Sulawesi,-3.4426,121.4263,1774,5.92,Cashew,0.79,2023
Papua,-3.7574,140.4138,3488,5.26,Cassava,9.32,2021
Gorontalo,0.7718,123.1537,2035,5.66,Cashew,0.81,2024
North Kalimantan,2.9949,116.3611,3186,5.36,Palm Oil,3.59,2021
Jambi,-2.3717,101.8249,2227,5.39,Rubber,0.88,2019
East Nusa Tenggara,-9.7334,119.8919,1286,5.81,Cassava,9.39,2017
Aceh,3.4145,97.278,2661,5.0,Rice,4.02,2019
Special Region of Yogyakarta,-7.8274,110.6584,2499,5.99,Rice,4.7,2019
South Sumatra,-3.2644,103.9479,2230,5.29,Rice,4.69,2018
North Kalimantan,1.8043,115.551,2573,4.58,Palm Oil,3.48,2020
North Maluku,-1.7113,124.9237,2772,6.11,Rice,4.77,2021
North Maluku,0.6553,128.356,2950,6.36,Nutmeg,0.97,2021
Bengkulu,-2.6952,101.8224,2436,4.86,Cinnamon,0.78,2024
West Kalimantan,-2.8499,110.5172,3594,5.36,Rubber,0.72,2015
East Java,-7.8235,112.8096,2459,6.5,Corn,4.35,2021
West Sulawesi,-2.1179,119.4649,2490,5.16,Cocoa,1.63,2019
Southeast Sulawesi,-4.2808,122.0526,1915,5.09,Cocoa,1.55,2024
Banten,-6.6075,106.2075,2146,5.69,Rice,4.9,2021
West Java,-6.9985,108.427,2712,6.26,Coffee,1.38,2021
West Java,-6.8317,107.5903,2871,4.92,Tea,1.93,2015
Special Region of Yogyakarta,-8.1619,110.6946,2519,6.5,Rice,4.36,2015
Aceh,4.3553,96.9119,2508,5.04,Coffee,1.39,2024
Special Region of Yogyakarta,-7.7788,110.4649,2872,5.98,Rice,4.34,2015
West Java,-6.4026,107.8073,2962,5.98,Rice,5.04,2017
Central Java,-7.4015,110.4917,2625,5.52,Rice,4.24,2023
Lampung,-4.8396,105.778,1577,5.05,Coffee,1.13,2021
West Sumatra,-1.2285,101.3744,3061,6.24,Rice,4.04,2015
Maluku,-3.5176,126.9952,3013,5.85,Cloves,1.07,2018
Central Java,-6.611,110.746,2764,5.62,Rice,4.9,2021
West Sulawesi,-2.2799,119.5621,2211,5.56,Rice,5.11,2018
West Sumatra,-0.9427,100.5491,2656,5.94,Rice,4.77,2018
Gorontalo,0.886,123.0153,2320,5.91,Cashew,1.09,2021
South Kalimantan,-3.0605,114.6166,3106,5.29,Rubber,0.9,2019
Banten,-6.5939,106.0342,1805,5.09,Rice,4.8,2020
West Sulawesi,-2.6828,119.7146,2229,6.45,Coconut,4.25,2015
South Sumatra,-2.5761,103.1677,2217,5.2,Palm Oil,4.22,2016
Jakarta Special Capital Region,-6.1125,106.7186,2316,6.05,Urban Vegetables,4.21,2016
Lampung,-5.2798,105.5526,1582,5.55,Rice,4.0,2021
Maluku,-3.1124,130.2816,2914,5.29,Cloves,0.95,2021
East Nusa Tenggara,-8.4322,120.387,1436,5.74,Rice,4.53,2023
Riau Islands,-0.2356,104.4663,2198,6.18,Coconut,3.28,2018
West Kalimantan,-0.6092,110.2652,3275,5.34,Rubber,1.08,2022
Southeast Sulawesi,-3.5924,121.7148,2498,5.34,Cocoa,1.56,2024
West Kalimantan,-0.3663,110.512,3173,5.32,Rice,5.33,2023
Lampung,-4.3322,105.2105,1847,6.0,Sugarcane,6.11,2022
Jakarta Special Capital Region,-6.2378,106.8615,1931,5.98,Fruit,3.86,2017
Bangka-Belitung Islands,-2.6901,106.6457,1835,5.52,Rice,4.33,2017
Lampung,-4.523,104.4748,2175,5.66,Rice,5.17,2019
East Nusa Tenggara,-9.4208,119.3583,1423,5.16,Cocoa,1.54,2024
West Kalimantan,-0.5729,109.1718,3525,5.74,Rice,4.7,2019
South Kalimantan,-3.7398,115.1099,2822,4.88,Palm Oil,3.75,2020
Southeast Sulawesi,-4.4005,122.8703,2149,5.0,Cocoa,1.85,2018
Jakarta Special Capital Region,-6.2584,106.8416,1733,6.04,Urban Vegetables,4.4,2023
West Papua,-4.1455,134.8243,3227,4.89,Sago,10.85,2019
North Maluku,1.2302,127.8603,2921,6.12,Coconut,3.36,2024
Central Kalimantan,-1.4637,111.8111,3020,5.34,Rubber,0.92,2015
South Sulawesi,-3.2542,120.061,2218,5.77,Cocoa,1.65,2017
Jakarta Special Capital Region,-6.2651,106.819,1784,5.5,Fruit,3.61,2024
South Sumatra,-3.0701,102.738,2526,5.11,Rubber,0.79,2020
East Kalimantan,-1.0577,116.1293,2682,5.27,Rice,4.61,2020
South Sumatra,-3.226,105.1976,2219,4.81,Palm Oil,4.03,2023
North Sumatra,0.5739,99.2364,3054,4.75,Rubber,0.85,2023
West Sulawesi,-3.3708,119.0879,2002,6.37,Coconut,3.45,2023
North Sumatra,3.1927,98.1798,2945,4.95,Palm Oil,3.57,2022
Special Region of Yogyakarta,-7.7874,110.52,2826,5.66,Rice,5.29,2023
Central Sulawesi,-1.5508,120.7428,2446,5.85,Cocoa,1.74,2015
Southeast Sulawesi,-4.9802,122.702,2225,5.5,Rice,5.03,2019
Bangka-Belitung Islands,-3.2592,108.3816,2340,4.5,Rubber,0.88,2023
Gorontalo,0.4937,121.4004,2710,6.0,Soybeans,1.99,2020
South Sumatra,-4.5734,104.2641,2074,5.69,Rice,4.27,2016
West Sulawesi,-2.654,119.1755,2170,5.95,Rice,4.53,2017
Bangka-Belitung Islands,-2.8736,107.0855,1888,5.83,Pepper,1.14,2020
Lampung,-4.8397,104.6166,1824,5.44,Rice,4.55,2023
Banten,-6.2516,106.3793,1987,6.23,Corn,4.24,2016
South Kalimantan,-3.807,114.7247,2775,4.94,Palm Oil,3.91,2023
West Sulawesi,-1.1464,119.411,2227,6.38,Coconut,4.39,2023
West Papua,-0.7566,132.8635,3380,5.24,Cassava,8.31,2015
Riau,0.1179,101.9223,2722,6.24,Coconut,3.86,2020
East Java,-7.9932,111.9953,2666,5.71,Tobacco,1.95,2017
Banten,-6.0841,106.0963,1624,5.29,Rice,3.97,2021
Riau,0.4932,100.3208,2446,5.23,Rubber,1.0,2015
Central Java,-7.2596,109.9954,2672,6.69,Sugarcane,7.27,2018
Jakarta Special Capital Region,-6.143,106.7338,1742,6.0,Fruit,3.66,2016
Bali,-8.2947,115.2949,2125,5.74,Coffee,1.58,2022
Central Kalimantan,-1.9497,111.9457,2975,5.22,Palm Oil,4.19,2024
East Java,-8.1195,113.9512,2331,6.59,Corn,4.27,2023
South Kalimantan,-3.642,114.6848,2852,4.78,Palm Oil,4.17,2019
Banten,-6.2895,106.5146,1957,5.54,Corn,4.35,2024
Riau Islands,1.181,104.5459,2633,7.11,Coconut,3.5,2016
Central Sulawesi,-1.6502,120.3622,2222,5.25,Cocoa,1.69,2022
Bali,-8.8086,115.5812,1748,5.86,Coffee,1.25,2018
East Kalimantan,-0.5699,116.2426,2612,4.92,Rubber,0.84,2022
West Kalimantan,-1.3171,110.7458,2974,5.35,Palm Oil,3.5,2021
Jambi,-2.0482,103.1253,2571,4.86,Rubber,0.85,2023
Riau,-0.54,101.6148,2407,5.43,Rubber,0.87,2021
Maluku,-7.6851,126.4215,2839,5.0,Cloves,0.94,2021
Southeast Sulawesi,-2.9632,122.0825,2191,5.32,Rice,4.67,2017
Central Sulawesi,-1.7866,120.2845,2557,5.19,Rice,4.4,2024
West Sulawesi,-2.9711,118.9603,2280,5.72,Rice,4.89,2024
Lampung,-5.5504,105.6043,1758,5.33,Rice,4.09,2020
East Java,-7.8034,112.5806,2484,6.17,Rice,4.65,2019
North Kalimantan,3.2239,117.2033,2548,5.39,Rice,4.97,2024
East Kalimantan,-0.4589,117.0791,2895,5.04,Palm Oil,3.72,2017
Special Region of Yogyakarta,-8.0753,110.7488,2730,5.27,Rice,4.92,2016
West Sulawesi,-3.3141,119.2776,2642,5.0,Cocoa,1.43,2017
Bangka-Belitung Islands,-2.4876,106.344,1995,5.54,Pepper,1.06,2024
South Kalimantan,-3.7649,115.1869,3272,4.71,Rubber,0.77,2022
West Kalimantan,0.7443,113.0642,3581,5.32,Rubber,0.79,2023
South Sumatra,-3.5424,105.616,2283,4.85,Rubber,1.03,2017
West Papua,-1.2629,131.5643,3614,5.01,Sago,11.54,2016
Maluku,-3.2252,130.3587,3253,6.21,Coconut,3.34,2015
Bali,-8.2707,114.5318,2077,5.58,Rice,4.51,2015
West Sulawesi,-2.9355,119.365,2002,5.47,Cocoa,1.74,2020
North Kalimantan,2.6245,117.298,2792,5.45,Rubber,1.02,2023
West Papua,-2.2025,133.0789,3144,5.49,Sago,9.38,2019
North Maluku,1.0385,128.5338,3291,5.31,Rice,3.86,2021
Lampung,-5.4118,105.1641,2319,5.27,Coffee,1.27,2023
West Kalimantan,0.5599,109.391,2925,5.62,Rice,4.64,2017
Special Region of Yogyakarta,-8.066,110.6376,2900,5.92,Corn,3.89,2023
West Sulawesi,-2.0011,119.3898,2079,6.63,Coconut,3.9,2016
Papua,-2.8886,140.9902,3590,5.29,Sago,12.94,2022
Lampung,-5.3377,105.6097,2047,5.69,Rice,4.78,2019
Jakarta Special Capital Region,-6.1066,106.8735,1713,6.42,Urban Vegetables,4.53,2018
Special Region of Yogyakarta,-7.7162,110.4067,2514,6.6,Corn,3.75,2019
Bengkulu,-2.5128,101.1865,2173,5.84,Coffee,1.49,2020
West Kalimantan,1.0366,109.7786,3153,5.21,Rubber,0.94,2020
Riau Islands,4.1602,108.178,2401,6.15,Coconut,4.03,2016
Jakarta Special Capital Region,-6.144,106.7925,1451,6.0,Urban Vegetables,4.23,2020
East Java,-7.9294,111.3356,2429,6.24,Corn,4.81,2022
East Java,-7.0877,113.0306,2690,5.53,Rice,4.3,2024
Jakarta Special Capital Region,-6.207,106.7648,1603,6.0,Urban Vegetables,4.45,2022
West Papua,-0.8161,133.841,3596,6.33,Sweet Potato,14.29,2019
Bali,-8.4419,115.6368,2353,6.18,Fruit,3.26,2018
Central Kalimantan,-0.8142,115.1106,3127,5.68,Palm Oil,3.91,2019
West Nusa Tenggara,-8.6273,117.1628,1846,6.09,Corn,4.51,2022
Riau,0.084,101.6164,2535,5.89,Coconut,3.84,2019
West Nusa Tenggara,-8.4249,118.3515,1623,5.3,Rice,4.2,2024
Lampung,-5.2784,105.1418,2012,6.18,Rice,5.03,2018
West Sulawesi,-2.7283,119.5512,2216,5.75,Cocoa,1.88,2017
West Nusa Tenggara,-8.258,116.2656,1712,6.21,Soybeans,2.54,2019
West Java,-6.8019,107.8152,2722,5.44,Rice,4.02,2024
Lampung,-5.5421,104.3516,2065,5.4,Coffee,1.35,2022
West Sumatra,-1.3914,98.8692,2888,5.65,Rice,4.88,2018
Bangka-Belitung Islands,-3.0718,108.1708,2029,5.79,Rubber,1.0,2017
West Java,-6.4889,107.353,2972,5.27,Tea,2.17,2023
North Maluku,2.4975,128.6768,2719,5.86,Rice,4.39,2017
North Kalimantan,2.8017,116.8229,2885,5.21,Palm Oil,3.89,2020
Southeast Sulawesi,-4.2176,122.7033,1589,5.31,Rice,4.15,2024
Bangka-Belitung Islands,-2.7999,106.5546,2306,5.46,Rice,4.72,2024
Special Region of Yogyakarta,-7.8492,110.7055,2786,5.17,Rice,4.31,2021
West Sulawesi,-2.7325,119.6033,2015,5.17,Cocoa,1.67,2024
West Nusa Tenggara,-8.6135,118.8981,1872,6.31,Corn,4.35,2021
Bali,-8.572,115.1333,2071,5.87,Rice,5.04,2015
Banten,-6.7997,106.1156,2003,5.9,Corn,4.62,2016
West Kalimantan,-0.2713,110.7323,2743,5.76,Rice,4.24,2021
Bangka-Belitung Islands,-2.5455,106.2418,2104,5.16,Rice,4.96,2023
Riau,1.2885,101.1323,2276,5.29,Palm Oil,3.76,2018
South Sulawesi,-5.2794,119.4054,2106,5.57,Rice,4.81,2022
Southeast Sulawesi,-4.8232,122.4367,2452,5.5,Cashew,0.73,2022
Maluku,-2.8967,128.6486,2850,5.14,Cloves,0.86,2021
Central Java,-7.0841,111.4177,3078,6.0,Sugarcane,6.51,2024
North Sumatra,1.0629,99.9379,3167,4.99,Palm Oil,3.44,2021
Banten,-6.5766,105.8538,1980,6.34,Coconut,3.97,2017
West Sulawesi,-1.5875,119.3549,2072,5.36,Cocoa,1.59,2024
Gorontalo,0.6475,123.3686,2086,5.85,Cashew,0.91,2020
East Kalimantan,-1.0567,115.7723,2708,4.86,Palm Oil,3.64,2023
South Sulawesi,-4.7849,120.3055,2717,5.43,Cocoa,1.47,2019
East Nusa Tenggara,-8.8222,121.6777,1472,6.34,Corn,4.3,2020
West Sumatra,-0.0567,100.5102,2415,6.08,Rice,4.0,2019
Bengkulu,-3.402,102.7382,1798,5.27,Rice,3.67,2020
West Nusa Tenggara,-8.874,116.066,1708,5.77,Rice,4.67,2018
Bangka-Belitung Islands,-3.0382,107.672,2123,5.6,Pepper,1.21,2022
Riau Islands,3.8914,108.0355,2497,6.16,Coconut,3.89,2016
East Nusa Tenggara,-8.7868,121.2429,1050,6.37,Corn,3.61,2017
West Sumatra,0.7117,99.8269,2838,5.38,Cinnamon,0.76,2017
Jambi,-1.3823,103.8683,2241,5.71,Rice,4.68,2020
North Kalimantan,2.9298,115.3509,2623,5.43,Palm Oil,3.53,2024
Central Sulawesi,-1.3448,122.0975,2604,6.11,Corn,4.25,2019
Bengkulu,-3.4172,102.1021,2232,5.94,Rice,4.6,2017
West Sumatra,-0.2666,100.5765,2819,5.24,Rice,4.56,2021
West Nusa Tenggara,-8.3474,116.5185,1534,5.66,Rice,4.57,2015
Gorontalo,0.6183,122.1275,2603,6.59,Soybeans,2.21,2020
North Kalimantan,1.8609,115.0533,2462,4.74,Palm Oil,3.57,2023
Central Sulawesi,-1.1464,122.124,2614,5.0,Cocoa,1.66,2024
Jakarta Special Capital Region,-6.3184,106.9024,1901,5.57,Fruit,3.94,2020
Central Sulawesi,-0.917,119.7833,2713,5.0,Cocoa,1.51,2021
Banten,-6.0041,106.3012,2228,5.56,Rice,4.26,2020
Aceh,4.9347,95.6845,2550,5.06,Rice,5.06,2017
Bengkulu,-3.7403,102.328,1859,5.63,Coffee,1.23,2016
Lampung,-4.6957,105.0166,1989,6.0,Sugarcane,6.33,2023
Lampung,-3.9406,105.1737,1782,5.87,Coffee,1.24,2016
Maluku,-7.6739,126.743,3112,5.46,Rice,4.78,2020
Bangka-Belitung Islands,-1.8743,105.6528,2256,4.8,Rubber,0.88,2017
Riau,1.5455,101.6784,2528,5.59,Palm Oil,3.89,2018
Lampung,-4.8769,104.4553,2013,6.39,Sugarcane,7.38,2018
Bali,-8.4122,114.8731,2555,5.51,Fruit,2.95,2022
Southeast Sulawesi,-3.6003,121.5138,2229,5.6,Cocoa,1.81,2023
North Sulawesi,0.4551,124.1192,2425,5.71,Rice,5.43,2021
West Sumatra,-0.234,100.6712,2463,5.09,Rice,4.48,2024
Lampung,-4.5501,105.2454,2076,5.74,Coffee,1.49,2020
Southeast Sulawesi,-3.4521,121.5106,2324,5.92,Cocoa,1.66,2016
Special Region of Yogyakarta,-8.1776,110.7318,2686,6.09,Rice,4.53,2017
Central Java,-6.8984,109.5052,2728,5.96,Rice,4.52,2021
Papua,-6.2754,140.0889,3641,5.59,Cassava,9.43,2017
West Papua,-1.6866,132.6796,3579,5.5,Sweet Potato,14.04,2021
Central Java,-6.9318,110.5417,2566,6.2,Corn,4.0,2023
Lampung,-4.5527,105.7857,1582,6.3,Sugarcane,5.96,2024
South Sumatra,-3.9338,104.2291,2354,5.55,Rice,4.69,2021
Jambi,-2.4348,102.8229,2175,6.16,Rice,3.84,2015
Bali,-8.4753,115.0813,2507,6.02,Fruit,3.06,2017
South Sulawesi,-2.7299,121.5951,2242,5.66,Cashew,1.01,2023
Aceh,4.1074,96.3917,2596,5.41,Rice,4.39,2021
Central Java,-7.4626,110.6494,2793,6.01,Rice,4.69,2016
Central Sulawesi,-2.2939,121.7693,2869,5.0,Cocoa,1.48,2018
Central Sulawesi,-0.9943,122.4901,2349,5.5,Corn,3.99,2023
Jambi,-2.5571,101.7893,2688,5.17,Rice,3.81,2023
Special Region of Yogyakarta,-7.639,110.4621,2411,5.9,Rice,4.1,2019
Aceh,3.8377,97.6637,2828,5.6,Rice,4.05,2022
North Kalimantan,1.6931,114.7161,2740,5.79,Rice,5.37,2019
North Kalimantan,2.6358,115.3649,2982,4.99,Palm Oil,3.37,2015
North Maluku,1.2485,127.4821,2737,5.91,Coconut,3.91,2024
West Nusa Tenggara,-8.1657,117.6344,1556,5.35,Rice,4.06,2021
East Kalimantan,-0.4347,116.0612,3021,5.34,Palm Oil,3.96,2019
Lampung,-4.2918,105.6628,2048,6.09,Sugarcane,6.92,2024
North Sumatra,2.8337,98.9245,2864,4.66,Rubber,0.92,2022
Bengkulu,-4.0818,103.0999,2238,5.61,Rice,4.52,2019
Southeast Sulawesi,-4.2623,122.3121,2135,5.75,Cashew,0.91,2022
North Kalimantan,2.0021,115.164,2662,5.5,Rice,5.32,2022
Riau Islands,-0.191,104.696,3131,6.67,Coconut,3.35,2017
Lampung,-4.2444,105.0858,2082,6.33,Sugarcane,6.2,2017
West Java,-6.9324,107.6087,2909,5.69,Rice,4.61,2017
Bengkulu,-3.5038,102.0294,2338,5.0,Coffee,1.52,2022
South Kalimantan,-3.7812,114.6804,2576,4.92,Palm Oil,3.38,2022
North Maluku,-0.3695,127.5455,2841,5.88,Nutmeg,0.95,2016
West Sulawesi,-1.4237,119.4783,2495,6.06,Coconut,2.96,2015
West Papua,-3.5969,133.2029,3349,6.15,Rice,4.83,2018
Bengkulu,-3.427,102.3487,2326,5.02,Cinnamon,0.79,2020
East Java,-8.4767,113.3683,2910,5.51,Rice,3.73,2018
Bengkulu,-3.4483,102.2522,2260,5.32,Rice,5.03,2022
West Java,-6.5393,108.3426,2609,4.91,Tea,1.57,2015
Southeast Sulawesi,-3.9389,122.1611,2276,5.46,Cocoa,1.61,2019
West Sumatra,-1.6639,99.0044,2803,4.54,Cinnamon,0.79,2022
North Sulawesi,1.3572,124.6207,2368,5.88,Cloves,0.98,2015
Jambi,-0.8809,103.2475,2290,5.54,Coffee,1.58,2021
South Sulawesi,-4.3228,119.7148,2232,5.89,Cocoa,1.85,2016
Bengkulu,-3.6617,102.5184,2494,5.36,Rice,4.32,2015
Central Kalimantan,0.2157,113.5476,2762,5.42,Rubber,0.81,2015
Central Kalimantan,-1.8188,112.334,2987,5.55,Rice,5.43,2018
West Sumatra,-1.1736,100.9485,2873,4.66,Tea,1.78,2023
West Nusa Tenggara,-8.5784,118.9813,1810,6.23,Corn,5.02,2020
Bali,-8.4029,114.9605,2024,6.19,Rice,4.64,2018
West Papua,-2.0109,134.1103,3332,5.56,Cassava,9.41,2022
South Kalimantan,-2.8829,116.2083,3186,4.74,Rubber,0.81,2020
West Nusa Tenggara,-8.5367,118.4808,1701,5.69,Rice,4.64,2023
East Kalimantan,1.2657,116.7254,3011,5.02,Rubber,0.95,2024
West Nusa Tenggara,-8.4845,116.5636,1613,6.09,Corn,4.25,2024
Gorontalo,0.9062,123.0745,2536,5.3,Rice,4.14,2017
Aceh,4.1597,96.1944,2259,5.77,Rice,4.09,2016
North Sulawesi,1.188,124.5819,2615,6.11,Coconut,3.77,2021
Central Kalimantan,-1.8084,114.2214,3115,4.86,Palm Oil,3.66,2024
North Kalimantan,1.5477,115.3492,2277,5.52,Rice,4.16,2020
Central Kalimantan,-1.682,111.5798,2992,4.99,Rubber,1.0,2024
West Java,-6.7774,108.4157,2768,5.2,Rice,4.13,2016
North Maluku,0.821,127.9835,2677,6.42,Coconut,4.15,2022
Gorontalo,0.4252,123.3272,2551,6.76,Soybeans,2.06,2017
Riau Islands,0.8614,103.8243,2316,5.85,Coconut,3.41,2021
Lampung,-5.4359,105.294,2079,5.64,Coffee,1.54,2021
South Sulawesi,-2.7923,120.4277,2280,5.5,Corn,3.93,2018
Maluku,-3.0035,129.1128,2826,5.49,Cloves,0.96,2015
Papua,-4.6355,140.4176,3692,5.86,Rice,4.6,2021
Bali,-8.1933,114.9993,2128,5.84,Rice,4.7,2016
Riau,0.6291,101.1265,2616,5.26,Palm Oil,4.19,2019
Central Sulawesi,-1.6725,120.6177,2422,5.07,Cocoa,1.6,2024
Central Java,-6.9939,110.9984,2746,6.25,Corn,4.54,2017
Bali,-8.3195,114.6464,2190,5.76,Rice,5.08,2022
Central Sulawesi,-2.2954,121.4107,2476,6.65,Corn,3.93,2015
Central Java,-7.2592,108.751,2841,5.47,Rice,5.02,2024
West Papua,-3.7238,133.9386,3676,5.57,Sweet Potato,12.89,2016
Central Java,-7.4261,110.3769,2574,5.77,Rice,4.4,2023
West Sulawesi,-2.9493,118.9131,2263,5.0,Cocoa,1.84,2024
Papua,-2.5425,138.4914,3523,5.05,Sago,11.04,2016
South Sulawesi,-3.3668,120.0267,2102,5.78,Rice,5.15,2020
South Sumatra,-3.4747,105.5711,2301,4.89,Rubber,0.86,2022
West Papua,-0.8387,133.7322,3390,5.6,Sweet Potato,12.88,2015
Southeast Sulawesi,-3.5744,121.1903,2384,5.93,Cashew,0.9,2020
North Maluku,-1.8773,124.737,2648,5.92,Nutmeg,0.91,2021
West Sulawesi,-3.3381,119.2988,2185,5.31,Cocoa,1.75,2017
North Sulawesi,2.7296,125.1712,2587,5.43,Rice,4.98,2017
Bangka-Belitung Islands,-1.9732,106.1013,2031,6.04,Pepper,1.06,2015
West Papua,-0.929,132.4267,3390,5.56,Cassava,10.2,2022
Central Sulawesi,0.9912,121.932,2773,5.47,Rice,4.11,2016
West Kalimantan,-0.7883,110.9467,2866,4.55,Palm Oil,3.48,2020
West Nusa Tenggara,-8.9024,117.1882,1759,5.25,Rice,5.13,2021
West Nusa Tenggara,-8.2991,116.4664,1841,6.09,Corn,4.33,2019
East Nusa Tenggara,-8.1709,124.9222,1029,5.5,Corn,3.52,2020
West Sumatra,-0.1933,99.8272,2759,5.74,Rice,4.82,2016
Bengkulu,-2.8434,102.0722,2214,5.1,Coffee,1.46,2018
Central Java,-7.2082,110.8895,2888,6.06,Rice,4.7,2022
Gorontalo,0.7786,121.5914,2355,5.35,Rice,4.43,2018
South Sumatra,-3.0861,102.4768,2208,5.24,Rice,4.61,2017
Central Java,-7.1238,109.3284,3011,6.24,Corn,4.0,2018
Bangka-Belitung Islands,-2.4233,105.9682,1706,4.71,Rubber,0.8,2024
East Nusa Tenggara,-9.653,119.4589,1422,5.05,Cassava,8.91,2022
Bangka-Belitung Islands,-2.3819,105.9,2044,5.5,Pepper,1.25,2019
Papua,-3.6346,135.6665,3713,5.77,Sweet Potato,14.51,2017
Central Java,-7.6581,109.456,2365,5.58,Rice,4.09,2021
Bengkulu,-4.3986,103.2166,2456,5.18,Rice,4.37,2024
North Kalimantan,3.7773,116.8781,3047,5.34,Palm Oil,3.64,2017
Southeast Sulawesi,-3.2942,121.2494,2167,5.41,Cocoa,1.83,2016
Banten,-6.26,106.7265,1986,5.42,Rice,4.92,2020
South Sulawesi,-2.9294,120.2595,2099,5.31,Cocoa,1.78,2022
North Sulawesi,0.64,124.3909,2272,5.0,Rice,3.9,2024
Bali,-8.3936,115.3601,1872,6.5,Fruit,3.74,2021
West Sumatra,-1.0218,100.5609,2806,5.69,Rice,4.82,2018
South Sulawesi,-7.301,120.8892,1968,5.89,Cashew,0.93,2021
East Java,-8.3303,111.7469,2476,5.79,Rice,4.73,2017
Lampung,-4.6179,105.4478,1804,6.35,Sugarcane,6.41,2019
West Sumatra,-1.1196,101.1794,2605,5.22,Rice,4.97,2021
West Sumatra,-1.9542,100.898,2846,5.19,Rice,4.12,2017
Gorontalo,0.8374,123.0207,2412,5.81,Rice,4.78,2018
Bali,-8.2238,114.9965,1924,5.72,Fruit,3.33,2018
West Papua,-3.0136,132.9403,3455,5.27,Sago,11.47,2018
East Java,-8.3482,114.1177,2457,5.79,Rice,5.52,2024
